指标名称,a,进出口金额:当月同比,社会消费品零售总额:当月同比,CPI:当月同比,PPI:全部工业品:当月同比,社会融资规模:当月值,M2:同比,M1:同比,人民币存款准备金率:大型存款类金融机构(月),人民币存款准备金率:中小型存款类金融机构(月),商品房销售面积:累计同比,商品房销售额:累计同比,PMI,财新中国PMI,财政收支差额:当月值,金融机构:财政存款余额,金融机构:机关团体存款余额,实际使用外资金额:外商直接投资:当月同比,官方储备资产:外汇储备,金融机构:人民币:资金运用:中央银行外汇占款,金融机构:贷款占比:基准利率,人民币:实际有效汇率指数,人民币:名义有效汇率指数
5-Sep,16.5,24.7,12.7,0.9,4.5,"6,041.00",17.92,11.64,7.5,7.5,23,33.8,55.1,50.9,-523.79,"10,618.62","10,750.19",5,"7,690.04","66,300.78",24.64,85.28,88.82
5-Oct,16.1,26.8,12.8,1.2,4,-974,17.99,12.08,7.5,7.5,22.2,33.6,54.1,50.1,764.55,"11,620.22","11,154.62",-2.2,"7,849.02","67,355.26",25.34,86.39,90.16
5-Nov,16.6,19.7,12.4,1.3,3.2,"2,368.00",18.3,12.7,7.5,7.5,20.8,33.3,54.1,49.8,-967.04,"11,427.10","11,649.17",0.5,"7,942.23","68,473.91",26.04,87.76,91.15
5-Dec,16.5,20,12.5,1.6,3.2,"2,524.00",17.57,11.78,7.5,7.5,15.7,30,54.3,50.1,"-5,939.55","7,996.26","12,052.33",11.1,"8,188.72","71,211.12",26.47,87.6,90.77
6-Jan,12.6,26.8,15.5,1.9,3.05,"6,323.00",19.21,10.63,7.5,7.5,11.75,22.35,52.1,50.2,"1,643.10","9,027.03","11,092.38",11,"8,451.80","74,007.00",27.05,86.89,89.23
6-Feb,20.1,25.7,9.4,0.9,3.01,"1,737.00",18.8,12.4,7.5,7.5,7.8,14.7,52.1,50.7,974.93,"9,532.06","11,366.05",4.4,"8,536.72","75,338.98",27.62,88.14,89.83
6-Mar,17.8,24.9,13.5,0.8,2.49,"7,472.00",18.8,12.7,7.5,7.5,10.2,13.4,55.3,51,390.28,"10,159.20","11,732.64",4.4,"8,750.70","76,492.83",28.2,86.92,89.94
6-Apr,16.6,19.8,13.6,1.2,1.87,"3,325.00",18.9,12.5,7.5,7.5,9.4,13.6,58.1,52.7,"1,542.00","12,300.48","11,968.22",3.7,"8,950.40","77,604.86",27.64,86,89.32
6-May,17.9,23.6,14.2,1.4,2.43,"3,785.00",19.1,14.01,7.5,7.5,14.7,21.4,54.8,52.8,894.18,"13,574.19","12,176.99",-7.9,"9,250.20","78,816.27",27.09,83.77,87.4
6-Jun,19.5,21.3,13.9,1.5,3.52,"3,843.00",18.43,13.9,7.5,7.5,16.5,24.5,54.1,52.9,-39.69,"12,382.06","12,634.33",-12.2,"9,411.15","82,874.24",26.53,84.46,88.73
6-Jul,16.7,21.3,13.7,1,3.58,"2,254.00",18.4,15.3,8,8,12.6,21.7,52.4,53,"1,519.03","14,571.57","12,847.18",2.8,"9,545.50","84,928.97",26.96,84.24,88.85
6-Aug,15.7,29,13.8,1.3,3.4,"3,362.00",17.9,15.6,8.5,8.5,8.9,18.2,53.1,52.6,90.94,"14,963.60","13,157.67",-8.5,"9,720.39","86,178.75",27.4,84.15,88.73
6-Sep,16.1,26.6,13.9,1.5,3.5,"3,077.00",16.83,15.7,8.5,8.5,10.5,18,57,52.4,-549.41,"14,808.18","13,738.01",2.7,"9,879.28","89,667.83",26.66,85.48,89.47
6-Oct,14.7,22.9,14.3,1.4,2.9,894,17.1,16.3,8.5,8.5,10.9,17.1,54.7,52.1,"1,130.06","16,923.20","13,994.31",15.9,"10,096.26","91,154.01",26.52,86.27,90.27
