CFETS人民币汇率指数:月,CFETS人民币汇率指数:月
PMI:出厂价格:大型企业,PMI:出厂价格:大型企业
PMI:出厂价格:中型企业,PMI:出厂价格:中型企业
PMI:出厂价格:小型企业,PMI:出厂价格:小型企业
人民币汇率指数(参考BIS货币篮子):月,人民币汇率指数(参考BIS货币篮子):月
工业企业:营业利润:累计同比,工业企业:营业利润:累计同比
市场价:玉米淀粉:食品用:一级:水分≤14%:月,市场价:玉米淀粉:食品用:一级:水分≤14%:月
人民币汇率指数(参考SDR货币篮子):月,人民币汇率指数(参考SDR货币篮子):月
产量:新能源汽车:累计同比,产量:新能源汽车:累计同比
中央企业:上交税费总额:累计同比,中央企业:上交税费总额:累计同比
CFETS人民币汇率指数:月:同比,CFETS人民币汇率指数:月:同比
抵押补充贷款(PSL):期末余额:同比,抵押补充贷款(PSL):期末余额:同比
人民币汇率指数(参考BIS货币篮子):月:同比,人民币汇率指数(参考BIS货币篮子):月:同比
国内主要港口:进口平均价:主焦煤:月,国内主要港口:进口平均价:主焦煤:月
京唐港:市场价:主焦煤(俄罗斯产):月,京唐港:市场价:主焦煤(俄罗斯产):月
人民币汇率指数(参考SDR货币篮子):月:同比,人民币汇率指数(参考SDR货币篮子):月:同比
房地产新开工面积指数,房地产新开工面积指数
深圳:中原领先指数:全市,深圳:中原领先指数:全市
农产品批发价格200指数:同比,农产品批发价格200指数:同比
CPI:食品烟酒:当月同比,CPI:食品烟酒:当月同比
全国主要港口:铁矿石库存:总计(45港口):月,全国主要港口:铁矿石库存:总计(45港口):月
中期借贷便利(MLF):期末余额:同比,中期借贷便利(MLF):期末余额:同比
工业企业:营业收入:累计同比,工业企业:营业收入:累计同比
工业企业:营业成本:累计同比,工业企业:营业成本:累计同比
百城住宅平均价格:一线城市,百城住宅平均价格:一线城市
地方政府债务余额,地方政府债务余额
房地产新开工面积指数:同比,房地产新开工面积指数:同比
地方政府债务余额:同比,地方政府债务余额:同比
CPI:食品烟酒:禽肉:当月同比,CPI:食品烟酒:禽肉:当月同比
抵押补充贷款(PSL):期末余额,抵押补充贷款(PSL):期末余额
